,id_venda,id_cliente,roduto,quantidade,preco_unitario,data_venda
0,1,1,Notebook,1,3500.0,2024-01-05
1,2,2,Smartphone,2,1500.0,2024-01-12
2,3,3,Tablet,1,1200.0,2024-02-05
3,4,1,Monitor,2,800.0,2024-02-20
4,5,4,Teclado,3,150.0,2024-03-01
5,6,2,Notebook,1,3200.0,2024-03-10
6,7,5,Smartphone,1,1800.0,2024-03-15
7,8,3,Monitor,1,850.0,2024-04-01
8,9,6,Mouse,5,75.0,2024-04-05
9,10,7,Impressora,1,650.0,2024-04-10
10,11,8,Notebook,1,3550.0,2024-04-12
11,12,9,Smartphone,3,1450.0,2024-04-15
12,13,10,Tablet,2,1250.0,2024-05-01
13,14,11,Monitor,4,800.0,2024-05-05
14,15,12,Teclado,1,150.0,2024-05-10
15,16,13,Notebook,2,3400.0,2024-05-15
16,17,14,Smartphone,1,1800.0,2024-05-20
17,18,15,Monitor,3,850.0,2024-05-25
18,19,16,Mouse,10,70.0,2024-06-01
19,20,17,Impressora,2,600.0,2024-06-05
20,21,18,Cadeira Gamer,1,950.0,2024-06-10
21,22,19,Headset,2,200.0,2024-06-12
22,23,20,Webcam,1,300.0,2024-06-15
23,24,21,Monitor 4K,2,1500.0,2024-06-20
24,25,22,SSD 1TB,3,450.0,2024-06-25
25,26,23,Placa de Vídeo,1,2500.0,2024-07-01
26,27,24,Fonte de Alimentação,2,550.0,2024-07-05
27,28,25,Gabinete,1,300.0,2024-07-10
28,29,26,Memória RAM 16GB,2,700.0,2024-07-15
29,30,27,Processador,1,1200.0,2024-07-20
30,31,28,Placa-Mãe,1,800.0,2024-07-25
31,32,29,SSD 500GB,4,300.0,2024-08-01
32,33,30,Cabo HDMI,6,25.0,2024-08-05
33,34,31,Mouse Pad,10,15.0,2024-08-10
34,35,32,Carregador Portátil,3,120.0,2024-08-15
35,36,33,Hub USB,5,40.0,2024-08-20
36,37,34,Caixa de Som,2,250.0,2024-08-25
37,38,35,Estabilizador,1,180.0,2024-08-30
38,39,36,Adaptador de Rede,3,70.0,2024-09-01
39,40,37,Suporte de Monitor,2,90.0,2024-09-05
